港澳台,#genre#
 靖天国际台,http://api.mytv666.top/api/hkhk.php?id=3565323661663639343630666164366662613631396533383637386437313434267469643d6c6974762669643d3639&auth=123
 靖天映画,http://api.mytv666.top/api/hkhk.php?id=3866323634653230653963633263353738626262303238666138363638386266267469643d6c6974762669643d3730&auth=123
 爱尔达娱乐,http://api.mytv666.top/api/hkhk.php?id=3961333565346430633337313237346661636430653064346330323532653839267469643d6c6974762669643d3731&auth=123
 龙华卡通,http://api.mytv666.top/api/hkhk.php?id=3462376263333533653532653937363736323337653961323233663835616635267469643d6c6974762669643d3732&auth=123
 龙华日韩,http://api.mytv666.top/api/hkhk.php?id=6264653631303835383063343031366435373466633232626131356539306663267469643d6c6974762669643d3733&auth=123
 龙华偶像,http://api.mytv666.top/api/hkhk.php?id=6565666563313265393836303137643266656663623534333632653238646165267469643d6c6974762669643d3734&auth=123
 民视综艺,http://api.mytv666.top/api/hkhk.php?id=3462636432356538633031626264313934353739383763363461346233383436267469643d6c6974762669643d3735&auth=123
 民视第一台,http://api.mytv666.top/api/hkhk.php?id=3537313830643938353432616532333938646535666534343963303030626637267469643d6c6974762669643d3736&auth=123
 民视旅游,http://api.mytv666.top/api/hkhk.php?id=3437366532353531653437643630386635656139346561653234386330663837267469643d6c6974762669643d3737&auth=123
 亚洲旅游台,http://api.mytv666.top/api/hkhk.php?id=6265353938386233393861366131333835653637323939346236323234616130267469643d6c6974762669643d3738&auth=123
 客家电视台,http://api.mytv666.top/api/hkhk.php?id=6432646362626465393131326335656532616234623138356262373139343138267469643d6c6974762669643d3739&auth=123
 爱放动漫,http://api.mytv666.top/api/hkhk.php?id=3663316530333938666330656132616333616163303738366532623434363838267469643d6c6974762669643d3830&auth=123
 古典音乐台,http://api.mytv666.top/api/hkhk.php?id=3534396665646131653939343336353963316331353030653333333363333561267469643d6c6974762669643d3831&auth=123
 猪歌亮歌厅秀,http://api.mytv666.top/api/hkhk.php?id=6432616233393033346337353339313539383431303830336431306461366264267469643d6c6974762669643d3832&auth=123
 Smart知识台,http://api.mytv666.top/api/hkhk.php?id=6131356162366361626534316431383237623137343061393265323562353433267469643d6c6974762669643d3836&auth=123
 达尔西频道,http://api.mytv666.top/api/hkhk.php?id=3439373166323639316635353737376266626164343034393733353735613462267469643d6c6974762669643d3837&auth=123
 阿里郎,http://api.mytv666.top/api/hkhk.php?id=6336663565343534663631303631323438663365353630653163346262633463267469643d6c6974762669643d3838&auth=123
 生活英语台,http://api.mytv666.top/api/hkhk.php?id=3637653733376161353230323065366565666639356133336361643731353538267469643d6c6974762669643d3839&auth=123
 国际财经,http://api.mytv666.top/api/hkhk.php?id=6434323935346233663665313661626165613662623032323865656337393061267469643d6c6974762669643d3930&auth=123
 美国之音,http://api.mytv666.top/api/hkhk.php?id=3461383333613830383337636436663339346261353564316165353766306332267469643d6c6974762669643d3931&auth=123
 好消息,http://api.mytv666.top/api/hkhk.php?id=3964633130663731356437356634376163373434653361663839663331656264267469643d6c6974762669643d3932&auth=123
 好消息2台,http://api.mytv666.top/api/hkhk.php?id=3038656532326464663964396264343735376563656235633337383666643935267469643d6c6974762669643d3933&auth=123
 非凡商业,http://api.mytv666.top/api/hkhk.php?id=3432656438643533343636386333376439323532353034383836626535393132267469643d6c6974762669643d3934&auth=123
 国会频道1,http://api.mytv666.top/api/hkhk.php?id=3039643638373032383137663663366137623266363137316264613766373936267469643d6c6974762669643d3935&auth=123
 国会频道2,http://api.mytv666.top/api/hkhk.php?id=3565616135356538303165373566643733363431363637363565376436393334267469643d6c6974762669643d3936&auth=123
 TRACE URBAN,http://api.mytv666.top/api/hkhk.php?id=3737623431346630303965653732643162313031393161383230663035323139267469643d6c6974762669643d3937&auth=123
 MEZZO LIVE,http://api.mytv666.top/api/hkhk.php?id=3838323336653235316532343038353836656161303936666339393739336333267469643d6c6974762669643d3938&auth=123
 韩国娱乐台,http://api.mytv666.top/api/hkhk.php?id=3436363339353461663662623432623463613933376238663234393939613438267469643d6c6974762669643d3939&auth=123
 GinxTV,http://api.mytv666.top/api/hkhk.php?id=3936636138376566333738666137303863306463303563623534323661363664267469643d6c6974762669643d313030&auth=123
 
 野火极速,#genre#
凤凰中文,http://push-rtmp-hs-spe-f5.douyincdn.com/live/fhwszwt-012346789.flv

凤凰资讯,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_fhzx.flv
凤凰香港,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_fhxg.flv
中天娱乐,http://push-rtmp-hs-spe-f5.douyincdn.com/live/167ztyl.flv
中天新闻,http://push-rtmp-hs-spe-f5.douyincdn.com/live/167ztyz.flv
中天亚洲,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_ztyz.flv
中天综合,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_ztzh.flv
中天新闻,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_ztxw1.flv
翡翠台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_jade.flv
无线新闻,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_wxxw.flv
明珠台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_mz.flv
viuTV,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_viu.flv
viuTV6,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_viutv6.flv
tvbplus,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_j2.flv
HOY77,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_hoy77.flv
HOY78,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_hoy78.flv
娱乐新闻,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_ylxw.flv
now新闻,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_nowxw.flv
重温经典,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_cwjd.flv
民视,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_ms.flv
民视第一,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_msdy.flv
民视台湾,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_mstw.flv
台视,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_ts.flv
中视,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_zs.flv
美亚电影,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_mydy.flv
东森超视,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_dscs.flv
东森综合,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_dszh.flv
八大第一,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_bddy.flv
八大综合,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_bdzh.flv
爱尔达娱乐,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_aedyl.flv
FTV综艺,http://push-rtmp-hs-spe-f5.douyincdn.com/live/1234567890-mszyt.flv
